"SITENAME","DATE","TIME","SALINITY","TN","TP","TOC","NH4","N.N","NO2","SRP","DOC","NO3","Dataset.ID","Date.EST","Station.ID","ALIAS","Region","SRPFlag","TPFlag","TPReversal","TNReversal","OCReversal"
"SRS1a","2005-01-04","08:15",0,47.763,0.22,1613.333,7.63,4.77,0.64,0.07,NA,4.13,"LT_ND_Grahl_002",2005-01-04,"SRS1a","SRS1","SRS",0,0,0,0,NA
"SRS1a","2004-12-07","16:30",0,28.399,NA,1169.167,1.65,1.06,0.15,NA,1364.167,0.91,"LT_ND_Grahl_002",2004-12-07,"SRS1a","SRS1","SRS",1,1,NA,0,0
"SRS1a","2002-09-25","15:45",0,57.526,NA,1406.667,1.41,0.72,0.13,0.01,1491.667,0.59,"LT_ND_Grahl_002",2002-09-25,"SRS1a","SRS1","SRS",0,1,NA,0,0
"SRS1a","2001-09-13","12:00",0,47.755,0.27,1397.5,8.1,2.58,0.2,0.02,1490,2.38,"LT_ND_Grahl_002",2001-09-13,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2001-10-22","12:00",0,47.638,0.11,1265.833,3,1.99,0.12,0.02,1286.667,1.86,"LT_ND_Grahl_002",2001-10-22,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2001-11-28","14:00",0,39.364,NA,1159.167,2.1,0.38,0.09,0,1161.667,0.29,"LT_ND_Grahl_002",2001-11-28,"SRS1a","SRS1","SRS",1,1,NA,0,0
"SRS1a","2001-12-19","11:00",0,40.234,0.09,1130.833,2.55,0.26,0.06,0,1130.833,0.2,"LT_ND_Grahl_002",2001-12-19,"SRS1a","SRS1","SRS",1,0,0,0,0
"SRS1a","2002-01-22","13:00",0,36.937,0.24,1145.833,6.69,1.52,0.11,0.1,1146.667,1.41,"LT_ND_Grahl_002",2002-01-22,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-02-28","09:00",0,24.419,0.57,1167.5,2.7,0.05,0.04,0.03,1227.5,0.01,"LT_ND_Grahl_002",2002-02-28,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-03-28","11:00",0,21.814,0.77,1263.333,5.47,0.23,0.09,0.08,1273.333,0.14,"LT_ND_Grahl_002",2002-03-28,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-04-09","09:30",0,43.938,0.43,1248.333,8.23,0.43,0.1,0.01,1266.667,0.33,"LT_ND_Grahl_002",2002-04-09,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-05-08","11:00",0,71.968,0.9,1317.5,5.31,0.12,0.08,0.05,1340.833,0.04,"LT_ND_Grahl_002",2002-05-08,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-06-25","10:00",0,36.942,0.2,1082.5,NA,6.75,0.49,0,1033.333,6.27,"LT_ND_Grahl_002",2002-06-25,"SRS1a","SRS1","SRS",1,0,0,NA,0
"SRS1a","2002-07-29","11:00",0,75.072,0.11,1755.417,1.39,2.98,0.12,0.06,1752.917,2.87,"LT_ND_Grahl_002",2002-07-29,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-08-22","08:45",0,34.863,0.06,1211.667,2.19,0.36,0.08,0.03,1020.833,0.28,"LT_ND_Grahl_002",2002-08-22,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-11-11","11:45",0,28.498,0.13,957.5,1.5,0.99,0.14,0.01,1110,0.84,"LT_ND_Grahl_002",2003-11-11,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-12-03","09:30",0,48.87,0.05,831.458,5.84,0.57,0.07,0.02,990.833,0.51,"LT_ND_Grahl_002",2003-12-03,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-01-26","13:20",0,26.231,0.23,905,2.23,0.1,0.1,0.01,990.417,NA,"LT_ND_Grahl_002",2004-01-26,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-02-10","11:20",0,29.124,0.34,894.167,4.48,1.31,0.28,0.04,909.583,1.04,"LT_ND_Grahl_002",2004-02-10,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-03-23","16:15",0,34.788,0.32,912.5,8.15,3.9,0.36,0.05,696.25,3.53,"LT_ND_Grahl_002",2004-03-23,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-04-19","11:30",0,NA,0.88,1060,1.47,3.99,0.26,0.01,NA,3.73,"LT_ND_Grahl_002",2004-04-19,"SRS1a","SRS1","SRS",0,0,0,NA,NA
"SRS1a","2004-05-05","15:45",0,NA,NA,1019.167,0.53,1.05,0.2,0.01,1120,0.85,"LT_ND_Grahl_002",2004-05-05,"SRS1a","SRS1","SRS",0,1,NA,NA,0
"SRS1a","2004-06-24","15:00",0,30.155,0.91,1135.833,0.45,1.28,0.13,0.03,1190,1.15,"LT_ND_Grahl_002",2004-06-24,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-07-15","10:45",0,36.421,0.45,983.333,0.79,NA,NA,0.03,NA,0.5,"LT_ND_Grahl_002",2004-07-15,"SRS1a","SRS1","SRS",0,0,0,NA,NA
"SRS1a","2004-08-19","12:30",0,53.384,0.42,1973.333,2.6,4.25,0.51,0.08,1903.333,3.75,"LT_ND_Grahl_002",2004-08-19,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-09-08","16:30",0,30.946,0.19,1395,3.69,6.01,0.25,0.04,1440,5.76,"LT_ND_Grahl_002",2004-09-08,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-10-14","12:00",0,32.049,0.11,1462.5,2.02,1.94,0.12,0.03,1562.5,1.83,"LT_ND_Grahl_002",2004-10-14,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-11-22","09:30",0,33.871,0.11,1310.833,1.82,0.42,0.17,0.01,1385.833,0.25,"LT_ND_Grahl_002",2004-11-22,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2001-06-12","13:00",0,37.775,0.66,1437.5,2.05,0.43,0.12,0.04,1305.833,0.31,"LT_ND_Grahl_002",2001-06-12,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2001-07-31","11:00",0,58.256,0.44,1377.5,6.4,3.59,0.39,0.01,1369.167,3.2,"LT_ND_Grahl_002",2001-07-31,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-10-23","12:00",0,35.774,NA,1634.167,2.41,0.39,0.13,NA,1625.833,0.26,"LT_ND_Grahl_002",2002-10-23,"SRS1a","SRS1","SRS",1,1,NA,0,0
"SRS1a","2002-11-20","13:15",0,58.464,0.12,1218.333,NA,1.53,0.15,0.05,1318.333,1.38,"LT_ND_Grahl_002",2002-11-20,"SRS1a","SRS1","SRS",0,0,0,NA,0
"SRS1a","2002-12-19","12:00",0,66.196,0.81,1427.5,4.8,3.76,0.29,0.03,1370,3.48,"LT_ND_Grahl_002",2002-12-19,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-01-21","09:10",0,58.915,0.63,1330.833,NA,2.1,0.2,0.13,1000.833,1.9,"LT_ND_Grahl_002",2003-01-21,"SRS1a","SRS1","SRS",0,0,0,NA,0
